name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,quoteCurrency,underlying,restricted,highLeverageFeeExempt,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h
BNT/USD,true,false,0.0005,0.1,0.1,3.6505,3.6455,3.6505,3.6505,spot,BNT,USD,NaN,false,true,-0.006666666666666667,0.00703448275862069,0.005647382920110193,727566.75605,727566.75605
BNTX-0924,true,false,0.01,0.01,0.01,397.16,403.97,404.09,403.97,future,NaN,NaN,BNTX,true,true,false,0.00823620435770085,0.006603209408950463,-0.022219532857315746,106405.1855,106405.1855
BNTX/USD,true,false,0.01,0.01,0.01,396.44,403.77,404.1,403.77,spot,BNTX,USD,NaN,true,true,true,0.008744097734029531,0.0034544460460261446,-0.022727272727272728,4378.3813,4378.3813
BOLSONARO2022,true,false,0.001,0.1,0.1,0.402,0.402,0.427,0.402,future,NaN,NaN,BOLSONARO,false,false,0,-0.0585480093676815,-0.0585480093676815,28.14,28.14
BRZ-PERP,true,false,0.00001,1,1,0.19221,0.19145,0.19221,0.19221,future,NaN,NaN,BRZ,false,false,-0.003731923495568341,0.01152510262077676,0.00005202913631633715,54534.47668,54534.47668
BRZ/USD,true,false,0.00001,1,1,0.19119,0.19119,0.19131,0.19119,spot,BRZ,USD,NaN,false,true,-0.007114665558786872,0.006157246605620461,-0.005203184348821479,72333.55984,72333.55984
BRZ/USDT,true,false,0.00001,1,1,0.19297,0.19075,0.19178,0.19178,spot,BRZ,USDT,NaN,false,true,-0.006166761672798881,0.00936842105263158,0.0006261087342168423,1702447.77365,1702515.871560946
BSV-PERP,true,false,0.01,0.01,0.01,138.97,138.96,138.97,138.97,future,NaN,NaN,BSV,false,false,-0.009550281519492552,-0.017602149017390076,-0.0035850003585000357,9737053.3788,9737053.3788
BSV-0924,true,false,0.01,0.01,0.01,138.54,137.83,138,138,future,NaN,NaN,BSV,false,false,-0.007265664340694914,-0.017373967530618057,-0.002241341913093775,471974.1075,471974.1075
BTC-PERP,true,false,1,0.0001,0.001,39296,39309,39310,39309,future,NaN,NaN,BTC,false,true,0.002550434849141779,-0.0014733152132496762,-0.010770818129199486,3466755888.4773,3466755888.4773
BTC-MOVE-0805,true,false,1,0.0001,0.0001,733,727,740,733,future,NaN,NaN,BTC,false,false,-0.08260325406758448,-0.3318140382862352,-0.3104421448730009,342199.813,342199.813
BTC-MOVE-0806,true,false,1,0.0001,0.0001,1141,1141,1187,1141,future,NaN,NaN,BTC,false,false,0.026079136690647483,-0.20515499825844655,-0.0017497812773403325,109503.7086,109503.7086
BTC-MOVE-WK-0806,true,false,1,0.0001,0.0001,2800,2754,2832,2800,future,NaN,NaN,BTC,false,false,-0.03248099516240498,-0.03912148249828414,0.0844306738962045,110894.2932,110894.2932
BTC-MOVE-WK-0813,true,false,1,0.0001,0.0001,3686,3570,3642,3642,future,NaN,NaN,BTC,false,false,0.014767344664251881,0.03465909090909091,0.003029468465987331,142112.0693,142112.0693
BTC-MOVE-WK-0820,true,false,1,0.0001,0.0001,3679,3612,3689,3679,future,NaN,NaN,BTC,false,false,0.01349862258953168,0.04132465326917634,0.021944444444444444,60749.2471,60749.2471
BTC-MOVE-WK-0827,true,false,1,0.0001,0.0001,3680,3624,3701,3680,future,NaN,NaN,BTC,false,false,0.013494904984852658,0.036036036036036036,0.020521353300055462,87367.2279,87367.2279
BTC-0924,true,false,1,0.0001,0.0001,39735,39739,39741,39739,future,NaN,NaN,BTC,false,false,0.003282082355020324,-0.0007543564082576882,-0.011000223986461263,84724316.101,84724316.101
BTC-MOVE-2021Q3,true,false,1,0.0001,0.0001,10050,10005,10150,10050,future,NaN,NaN,BTC,false,false,0.006812262071729113,-0.019225139065092222,-0.03365384615384615,59272.2703,59272.2703
BTC-1231,true,false,1,0.0001,0.0001,40579,40579,40605,40579,future,NaN,NaN,BTC,false,false,0.002594258042199931,-0.0009109710458932441,-0.010871419865935405,70336452.1918,70336452.1918
BTC-MOVE-2021Q4,true,false,1,0.0001,0.0001,13828,13855,14036,13855,future,NaN,NaN,BTC,false,false,0.007929579514040448,0.019874861980125138,0.004203812422990505,86073.2668,86073.2668
BTC-MOVE-2022Q1,true,false,1,0.0001,0.0001,13520,13548,13732,13548,future,NaN,NaN,BTC,false,false,0.003258293838862559,0.016201620162016202,-0.007327080890973036,7736.0937,7736.0937
BTC/BRZ,true,false,5,0.0001,0.0001,204770,204890,206065,204890,spot,BTC,BRZ,NaN,false,true,0.00911150512214342,-0.010360567053879778,-0.011220230195690467,9457301.3255,1809276.316581405
BTC/EUR,true,false,1,0.0001,0.0001,33148,33194,33271,33194,spot,BTC,EUR,NaN,false,true,0.0013273001508295626,-0.0025841346153846153,-0.01099424962011739,294541.9492,349032.209802
BTC/TRYB,true,false,0.1,0.0001,0.0001,334898.4,334885.2,336030.5,334898.4,spot,BTC,TRYB,NaN,false,true,0.0010333200120638691,0.002363002003239064,-0.004199094527499282,18845919.44207,2213076.3200822803
BTC/USD,true,false,1,0.0001,0.0001,39314,39310,39311,39311,spot,BTC,USD,NaN,false,true,0.0029595611685163926,-0.001600040635952659,-0.010421648835745752,978714948.3418,978714948.3418
